UserID,frequency,recency,monetary_value,norm_frequency,norm_recency,norm_monetary_value,group
4290,5.0,2325,35.0,9.75743028316e-05,6.11794176019e-05,3.28831966134e-05,4
4300,2.0,2624,45.0,3.90297211326e-05,6.90472222742e-05,4.22783956458e-05,0
4310,1.0,4684,40.0,1.95148605663e-05,0.000123253501956,3.75807961296e-05,0
4340,8.0,1887,72.5,0.000156118884531,4.96540047376e-05,6.8115192985e-05,2
4390,11.0,1037,30.0,0.00021466346623,2.72873359369e-05,2.81855970972e-05,2
4410,2.0,4085,40.0,3.90297211326e-05,0.000107491578883,3.75807961296e-05,0
4420,1.0,4287,30.0,1.95148605663e-05,0.00011280695194,2.81855970972e-05,0
4470,10.0,798,34.5,0.000195148605663,2.09983549447e-05,3.24134366618e-05,2
4480,8.0,798,400.0,0.000156118884531,2.09983549447e-05,0.000375807961296,3
4490,11.0,799,85.0,0.00021466346623,2.10246686727e-05,7.98591917755e-05,2
4530,2.0,4112,50.0,3.90297211326e-05,0.000108202049539,4.6975995162e-05,0
4570,1.0,4159,30.0,1.95148605663e-05,0.000109438794755,2.81855970972e-05,0
4580,7.0,1171,68.5714285714,0.000136604023964,3.0813375489e-05,6.44242219365e-05,2
4600,10.0,841,39.0,0.000195148605663,2.21298452487e-05,3.66412762264e-05,2
4610,9.0,2624,108.333333333,0.000175633745097,6.90472222742e-05,0.000101781322851,2
4650,3.0,3831,53.3333333333,5.8544581699e-05,0.000100807891971,5.01077281729e-05,0
4680,5.0,2989,100.0,9.75743028316e-05,7.86517329945e-05,9.39519903241e-05,7
4710,13.0,811,141.923076923,0.000253693187362,2.13404334087e-05,0.000133339555498,2
4730,5.0,2624,32.0,9.75743028316e-05,6.90472222742e-05,3.00646369037e-05,4
4740,6.0,2624,105.0,0.000117089163398,6.90472222742e-05,9.86495898403e-05,7
4750,9.0,970,55.0,0.000175633745097,2.55243161608e-05,5.16735946783e-05,2
4790,4.0,2512,77.5,7.80594422653e-05,6.61000847381e-05,7.28127925012e-05,7
4800,10.0,798,91.5,0.000195148605663,2.09983549447e-05,8.59660711465e-05,2
4820,1.0,4524,15.0,1.95148605663e-05,0.000119043305476,1.40927985486e-05,0
4840,1.0,4528,30.0,1.95148605663e-05,0.000119148560388,2.81855970972e-05,0
4860,5.0,1062,54.0,9.75743028316e-05,2.79451791369e-05,5.0734074775e-05,4
4870,10.0,1031,43.5,0.000195148605663,2.71294535689e-05,4.0869115791e-05,2
4910,6.0,2262,22.5,0.000117089163398,5.95216527379e-05,2.11391978229e-05,2
4930,3.0,3765,26.6666666667,5.8544581699e-05,9.90711859231e-05,2.50538640864e-05,0
4950,10.0,1862,53.0,0.000195148605663,4.89961615376e-05,4.97945548718e-05,2
4970,7.0,826,26.4285714286,0.000136604023964,2.17351393287e-05,2.48301688714e-05,2
4980,17.0,798,105.882352941,0.000331752629627,2.09983549447e-05,9.94785779902e-05,2
5010,4.0,1528,23.75,7.80594422653e-05,4.02073763853e-05,2.2313597702e-05,4
5050,5.0,855,29.0,9.75743028316e-05,2.24982374407e-05,2.7246077194e-05,4
5070,9.0,1639,43.8888888889,0.000175633745097,4.31282001934e-05,4.12344846422e-05,2
5080,2.0,2184,150.0,3.90297211326e-05,5.74691819538e-05,0.000140927985486,7
5210,3.0,3421,45.0,5.8544581699e-05,9.00192634909e-05,4.22783956458e-05,0
5230,5.0,1167,65.0,9.75743028316e-05,3.0708120577e-05,6.10687937107e-05,4
5250,3.0,2989,50.0,5.8544581699e-05,7.86517329945e-05,4.6975995162e-05,0
5260,11.0,1006,39.5454545455,0.00021466346623,2.64716103688e-05,3.71537416282e-05,2
