#,Category,Number of Outlet,Remarks,Group Name/Voucher Name,Length,Merchant Name (Tag),Redemption Type  (Tag),Category,Voucher Type,Require daily cap?,Daily Cap Quantity,Require per user limit?,Per user limit Quantity,Total # of Codes,Campaign Start Date,Campaign End Date,Voucher Expiry Date,Promo Code,Description in Goods,Terms and Conditions in Goods,internal url,CRM Offer Name (Prepaid),CRM Offer Name (Postpaid),CRM Offer ID (Postpaid),CRM Offer ID (Postpaid),In App Thumbnail ,,
,,No of Outlets,,"Appear as the title of the rewards in Rewards Section
Not more than 43 characters. To Appear in MyRewards",,,,Category,,"only allow x number of ""get reward""",,only allow X time per user,,total code for promo period,MM-DD-YYYY HH:MM,MM-DD-YYYY HH:MM,MM-DD-YYYY HH:MM,,This can be as descriptive as you want,standard T&C to be included,Do we don’t allow bringing user to external party at the moment.,Applicable for Superdeals only. ,Applicable for Superdeals only. ,Applicable for Superdeals only. ,Applicable for Superdeals only. ,Key in Y if partner provide the thumbnail .,,
21,"Monthly Rewards
",1,,Big Apple: FREE 1 Donut,23,Big Apple,offline,CAT=F&B,"generic promo code
",No,Unlimited,No,Unlimited,"9,999",1/15/18 12:00 AM,6/30/18 11:59 PM,6/30/18 11:59 PM,SURIASABAHDIGI,"MyDigi Reward:
Get 1 Free Donut (any flavor) when you buy any Hot/Cold Coffee or Tea","Terms and Conditions:
Valid from now till 30 June 2018 from 10am - 1pm
Valid at shop lot no: B-4, Suria Sabah Shopping Mall
Present this e-voucher at the participating Big Apple Donuts & Coffee to redeem
Must allow Big Apple Donuts & Coffee staff to click on the REDEEM button in order to receive the promotion
One redemption per customer
Subject to discounts/offers/promotions/bulk purchase
Valid for dine in only. Not applicable for take away
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Y,,
22,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,Hokkaido Baked Cheese Tart: Buy 2 Free 1,40,Hokkaido Baked Cheese Tart,offline,CAT=F&B,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
Buy 2 FREE 1
","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: LG-K07, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
23,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,Himalaya: Get 15% Off,21,"Himalaya
",offline,CAT=BEAUTY,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
15% Off on the second item

","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: LG-06, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
Applicable only on normal price item
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
24,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,Aster Spring: Enjoy Buy 2 for the Price of 1,44,"Aster Spring
",offline,CAT=BEAUTY,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
Buy 2 for the Price of 1 (choose from Intense Whitening Plus @ RM284 OR 
Isotonic Hydrating Treatment @ RM305)
","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: G-50, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
Limit to one purchase per customer
Only applicable to Digi users
Promotion is not valid with other offers or promotions
Aster Spring reserves the right to change or amend the Terms and Conditions above without prior notice
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
25,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,DRUM: Get Free Gift worth RM19.90,33,"DRUM
",offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
Free Gift worth RM19.90 (selections of tie, bow tie, cap or belt) with minimum purchase of RM200 in a single receipt","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 2-21, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
For other Terms and Conditions refer to digi.my/rewardstnc",,,,,,Old,,
26,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,Beans N Beans: Get 20% Off,26,"Beans N Beans
",offline,CAT=F&B,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
Get 20% Off with purchase of two (2) BINGSU or more in a single receipt","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 4-23A, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
Not valid with other offers/promotions/discounts/vouchers
While stocks last
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
27,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,Just: Get 10% Off,17,"Just
",offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
10% Off on all product
","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 1-K07, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
28,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,Popular: Enjoy RM5 Off,22,"Popular
",offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
RM5 Off with purchase of RM50 nett
","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 2-42B, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
Can only be used with a minimum purchase of RM50 in a single receipt on the same day
Not exchangeable for cash and valid for one transaction only
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
29,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,Sorella: Get 5% Off on total bill,33,"Sorella
",offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
5% Off on total bill
","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 1-08, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
Sorella reserves the right to amend Terms and Conditions without prior notice
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
30,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,Multi.tude: Get 15% Off,23,"Multi.tude
",offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
15% Off on normal price item
","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 1-46, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
Not valid with other promotions or discounts
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
31,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,Boat Noodle: Enjoy 2 FREE Bowls,31,"Boat Noodle
",offline,CAT=F&B,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
Get 2 FREE Bowls with a minimum spend of RM25
","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 4-38, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
Valid for dine-in only
One voucher per person
Voucher cannot be exchanged for cash
Voucher may not be used in conjunction with any other Boat Noodle voucher, promotion, event or discount
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
